date,code,direction,price,quantity,sell_type,pnl,pnl_pct,days_held,commission,stamp_tax
2022-01-05,603032,buy,62.819,1500,,,,,23.56,0.0
2022-01-06,603032,sell,60.934,1500,hard_stop,-2941.07,-0.0312,1.0,22.84,45.68
2022-01-06,600456,buy,66.074,1400,,,,,23.13,0.0
2022-01-06,688662,buy,41.753,2400,,,,,25.05,0.0
2022-01-06,603032,buy,59.999,1700,,,,,25.5,0.0
2022-01-07,600456,sell,64.092,1400,hard_stop,-2887.22,-0.0312,1.0,22.42,44.84
2022-01-07,603032,sell,58.199,1700,hard_stop,-3183.56,-0.0312,1.0,24.72,49.44
2022-01-07,600101,buy,5.616,16900,,,,,23.73,0.0
2022-01-07,688662,sell,43.159,2400,trailing_stop,3245.24,0.0324,1.0,25.88,51.76
2022-01-07,688662,buy,43.181,2300,,,,,24.83,0.0
2022-01-10,600101,sell,5.465,16900,hard_stop,-2665.6,-0.0281,1.0,23.08,46.15
2022-01-10,600222,buy,8.739,10900,,,,,23.81,0.0
2022-01-10,688662,sell,47.518,2300,trailing_stop,9838.59,0.0991,1.0,27.31,54.62
2022-01-10,603843,buy,4.851,21200,,,,,25.71,0.0
2022-01-11,603843,sell,5.057,21200,trailing_stop,4246.8,0.0413,1.0,26.79,53.58
2022-01-12,603466,buy,18.383,5700,,,,,26.2,0.0
2022-01-12,002602,buy,8.384,12500,,,,,26.2,0.0
2022-01-13,603466,sell,18.079,5700,hard_stop,-1862.53,-0.0178,1.0,25.75,51.5
2022-01-13,603099,buy,11.539,8900,,,,,25.67,0.0
2022-01-13,600222,sell,8.497,10900,hard_stop,-2753.88,-0.0289,3.0,23.14,46.28
2022-01-13,603596,buy,53.441,1700,,,,,22.71,0.0
2022-01-14,603596,sell,54.71,1700,trailing_stop,2040.64,0.0225,1.0,23.24,46.48
2022-01-14,603596,buy,55.396,1700,,,,,23.54,0.0
2022-01-14,603099,sell,11.195,8900,hard_stop,-3184.32,-0.031,1.0,24.9,49.79
2022-01-14,688155,buy,83.255,1200,,,,,24.98,0.0
2022-01-17,002602,sell,8.25,12500,soft_stop,-1806.24,-0.0172,2.0,25.77,51.54
2022-01-17,603596,sell,57.861,1700,trailing_stop,4067.9,0.0432,1.0,24.58,49.16
2022-01-17,603596,buy,58.276,1700,,,,,24.77,0.0
2022-01-17,688168,buy,47.219,2100,,,,,24.79,0.0
2022-01-18,603596,sell,59.451,1700,trailing_stop,1871.71,0.0189,1.0,25.25,50.51
2022-01-18,688168,sell,49.835,2100,trailing_stop,5364.66,0.0541,1.0,26.15,52.3
2022-01-18,002850,buy,167.742,600,,,,,25.16,0.0
2022-01-18,600845,buy,31.931,3300,,,,,26.34,0.0
2022-01-18,688155,sell,81.021,1200,hard_stop,-2802.51,-0.0281,2.0,24.29,48.59
2022-01-18,000733,buy,116.776,800,,,,,23.36,0.0
2022-01-19,000733,sell,120.839,800,trailing_stop,3129.69,0.0335,1.0,24.16,48.31
2022-01-19,002850,sell,164.006,600,hard_stop,-2364.38,-0.0235,1.0,24.59,49.18
2022-01-19,000733,buy,121.205,800,,,,,24.24,0.0
2022-01-19,688155,buy,82.008,1200,,,,,24.6,0.0
2022-01-19,600845,sell,31.088,3300,hard_stop,-2910.96,-0.0276,1.0,25.63,51.27
2022-01-20,000733,sell,120.419,800,trailing_stop,-748.9,-0.0077,1.0,24.07,48.14
2022-01-20,688155,sell,81.501,1200,hard_stop,-731.02,-0.0074,1.0,24.44,48.88
2022-01-20,000733,buy,121.892,800,,,,,24.38,0.0
2022-01-20,600505,buy,11.179,9100,,,,,25.43,0.0
2022-01-20,603227,buy,6.488,15800,,,,,25.63,0.0
2022-01-21,000733,sell,118.236,800,hard_stop,-3043.62,-0.0312,1.0,23.64,47.27
2022-01-21,600505,sell,10.887,9100,hard_stop,-2786.49,-0.0274,1.0,24.76,49.51
2022-01-21,603227,sell,6.294,15800,hard_stop,-3199.66,-0.0312,1.0,24.85,49.69
2022-01-21,603466,buy,20.397,4700,,,,,23.97,0.0
2022-01-21,600721,buy,7.524,13100,,,,,24.64,0.0
2022-01-21,600845,buy,31.414,3100,,,,,24.35,0.0
2022-01-24,603466,sell,19.785,4700,hard_stop,-2992.13,-0.0312,1.0,23.24,46.47
2022-01-24,688168,buy,48.937,1900,,,,,23.25,0.0
2022-01-24,600845,sell,30.512,3100,hard_stop,-2914.7,-0.0299,1.0,23.63,47.27
2022-01-24,603596,buy,54.128,1700,,,,,23.0,0.0
2022-01-25,603596,sell,53.002,1700,hard_stop,-2027.53,-0.022,1.0,22.51,45.03
2022-01-25,603383,buy,29.807,3100,,,,,23.1,0.0
2022-01-25,688168,sell,47.5,1900,hard_stop,-2843.02,-0.0306,1.0,22.55,45.1
2022-01-25,000733,buy,117.95,700,,,,,20.64,0.0
2022-01-26,600721,sell,7.38,13100,soft_stop,-2004.07,-0.0203,2.0,24.16,48.31
2022-01-26,603383,sell,28.912,3100,hard_stop,-2884.02,-0.0312,1.0,22.4,44.79
2022-01-26,000733,sell,114.412,700,hard_stop,-2577.03,-0.0312,1.0,20.01,40.02
2022-01-26,688390,buy,149.192,600,,,,,22.38,0.0
2022-01-26,603806,buy,43.043,2100,,,,,22.6,0.0
2022-01-26,603885,buy,18.272,5100,,,,,23.3,0.0
2022-01-27,688390,sell,145.327,600,hard_stop,-2428.04,-0.0271,1.0,21.79,43.58
2022-01-27,603885,sell,17.764,5100,hard_stop,-2705.46,-0.029,1.0,22.64,45.28
2022-01-27,002850,buy,156.463,500,,,,,19.56,0.0
2022-01-27,601689,buy,39.426,2500,,,,,24.64,0.0
2022-01-27,603806,sell,41.875,2100,hard_stop,-2562.41,-0.0283,1.0,21.97,43.95
2022-01-27,603323,buy,4.161,21700,,,,,22.58,0.0
2022-01-28,002850,sell,151.769,500,hard_stop,-2441.77,-0.0312,1.0,18.96,37.92
2022-01-28,601689,sell,38.243,2500,hard_stop,-3076.43,-0.0312,1.0,23.89,47.78
2022-01-28,603323,sell,4.159,21700,trailing_stop,-157.92,-0.0017,1.0,22.55,45.11
2022-01-28,603920,buy,20.524,4200,,,,,21.55,0.0
2022-01-28,688696,buy,377.464,200,,,,,18.87,0.0
2022-01-28,002531,buy,18.309,5400,,,,,24.72,0.0
2022-02-07,603920,sell,19.92,4200,hard_stop,-2640.04,-0.0306,1.0,20.91,41.81
2022-02-07,002531,sell,20.158,5400,trailing_stop,9850.3,0.0996,1.0,27.2,54.4
2022-02-07,688390,buy,150.051,600,,,,,22.51,0.0
2022-02-07,603596,buy,55.893,1800,,,,,25.15,0.0
2022-02-08,688390,sell,146.694,600,hard_stop,-2124.36,-0.0236,1.0,21.99,43.99
2022-02-08,603596,sell,54.217,1800,hard_stop,-3140.2,-0.0312,1.0,24.39,48.77
2022-02-08,600295,buy,9.044,10300,,,,,23.29,0.0
2022-02-08,600561,buy,5.273,17900,,,,,23.6,0.0
2022-02-08,688696,sell,368.453,200,hard_stop,-1894.32,-0.0251,2.0,18.41,36.83
2022-02-08,603323,buy,4.442,16600,,,,,18.43,0.0
2022-02-09,600295,sell,9.228,10300,trailing_stop,1774.43,0.019,1.0,23.75,47.5
2022-02-09,603379,buy,21.829,4300,,,,,23.47,0.0
2022-02-14,600561,sell,5.44,17900,trailing_stop,2868.45,0.0304,4.0,24.33,48.66
2022-02-14,600101,buy,5.327,18400,,,,,24.5,0.0
2022-02-14,603323,sell,4.331,16600,hard_stop,-1936.85,-0.0263,4.0,17.96,35.93
2022-02-14,600865,buy,8.312,8600,,,,,17.87,0.0
2022-02-15,603379,sell,21.424,4300,soft_stop,-1856.51,-0.0198,3.0,23.02,46.04
2022-02-15,601020,buy,9.199,10000,,,,,23.0,0.0
2022-02-16,600865,sell,8.481,8600,trailing_stop,1361.61,0.019,2.0,18.22,36.45
2022-02-16,603843,buy,7.072,10300,,,,,18.21,0.0
2022-02-17,603843,sell,7.805,10300,trailing_stop,7451.19,0.1023,1.0,20.09,40.18
2022-02-17,603269,buy,4.548,17700,,,,,20.12,0.0
2022-02-17,601020,sell,9.329,10000,trailing_stop,1188.5,0.0129,2.0,23.31,46.62
2022-02-17,603596,buy,56.902,1600,,,,,22.76,0.0
2022-02-18,603596,sell,56.02,1600,hard_stop,-1524.38,-0.0167,1.0,22.4,44.79
2022-02-18,600295,buy,9.371,9800,,,,,22.96,0.0
2022-02-21,600295,sell,9.52,9800,trailing_stop,1344.13,0.0146,1.0,23.31,46.63
2022-02-21,600865,buy,8.467,11000,,,,,23.28,0.0
2022-02-21,603269,sell,4.616,17700,trailing_stop,1107.36,0.0138,2.0,20.42,40.83
2022-02-21,603269,buy,4.618,17600,,,,,20.32,0.0
2022-02-22,600101,sell,5.42,18400,trailing_stop,1597.58,0.0163,6.0,24.92,49.84
2022-02-22,600865,sell,8.654,11000,trailing_stop,1938.77,0.0208,1.0,23.79,47.57
2022-02-22,600721,buy,8.294,11700,,,,,24.26,0.0
2022-02-22,600101,buy,5.43,18000,,,,,24.44,0.0
2022-02-23,600721,sell,8.33,11700,trailing_stop,297.71,0.0031,1.0,24.35,48.71
2022-02-23,600348,buy,6.53,14900,,,,,24.32,0.0
2022-02-24,600348,sell,6.37,14900,hard_stop,-2508.73,-0.0258,1.0,23.72,47.43
2022-02-24,603379,buy,22.829,4100,,,,,23.4,0.0
2022-02-24,600101,sell,5.317,18000,hard_stop,-2167.69,-0.0222,2.0,23.91,47.82
2022-02-24,600520,buy,9.975,9700,,,,,24.19,0.0
2022-02-25,603379,sell,22.769,4100,trailing_stop,-360.47,-0.0039,1.0,23.33,46.65
2022-02-25,600520,sell,10.14,9700,trailing_stop,1477.73,0.0153,1.0,24.58,49.15
2022-02-25,603032,buy,50.561,1800,,,,,22.75,0.0
2022-02-25,603009,buy,6.675,15000,,,,,25.03,0.0
2022-02-28,603032,sell,49.12,1800,hard_stop,-2705.92,-0.0297,1.0,22.09,44.19
2022-02-28,603009,sell,6.554,15000,hard_stop,-1938.94,-0.0194,1.0,24.57,49.13
2022-02-28,002025,buy,68.729,1300,,,,,22.34,0.0
2022-02-28,601020,buy,10.515,9200,,,,,24.18,0.0
2022-03-01,603269,sell,4.606,17600,time_stop,-319.44,-0.0039,5.0,20.26,40.51
