date,nav,cash,mkt_val,positions
2024-01-02,302508.14,90.75,302417.38,3
2024-01-03,298375.79,680.39,297695.4,3
2024-01-04,301587.91,1843.61,299744.3,3
2024-01-05,299417.08,118.06,299299.02,3
2024-01-08,289752.61,1043.18,288709.43,3
2024-01-09,301801.28,432.49,301368.79,3
2024-01-10,298869.92,1650.05,297219.87,3
2024-01-11,291162.84,1665.17,289497.67,3
2024-01-12,292914.74,158.55,292756.19,3
2024-01-15,297870.06,158.55,297711.51,3
2024-01-16,290978.25,733.81,290244.44,3
2024-01-17,289282.94,203.8,289079.14,3
2024-01-18,284287.81,655.23,283632.58,3
2024-01-19,282060.95,881.47,281179.48,3
2024-01-22,271159.26,204.88,270954.39,3
2024-01-23,277200.7,149.22,277051.48,3
2024-01-24,282308.35,989.18,281319.16,3
2024-01-25,303522.65,1877.14,301645.51,3
2024-01-26,305888.02,1525.47,304362.56,3
2024-01-29,308797.9,552.38,308245.53,3
2024-01-30,304424.54,884.7,303539.84,3
2024-01-31,305894.43,347.12,305547.31,3
2024-02-01,298473.5,1266.24,297207.26,3
2024-02-02,301466.36,593.32,300873.04,3
2024-02-05,307044.73,367.19,306677.55,3
2024-02-06,308170.14,231.43,307938.71,3
2024-02-07,308567.1,57.55,308509.55,3
2024-02-08,299809.54,803.3,299006.25,3
2024-02-19,319270.73,305.37,318965.36,3
2024-02-20,327434.66,668.79,326765.88,3
2024-02-21,317126.18,2633.62,314492.56,3
2024-02-22,327172.11,712.38,326459.73,3
2024-02-23,325820.75,206.19,325614.56,3
2024-02-26,321229.09,42.76,321186.33,3
2024-02-27,335876.24,590.15,335286.09,3
2024-02-28,314764.9,1929.49,312835.41,3
2024-02-29,338089.38,774.93,337314.45,3
2024-03-01,346534.33,679.46,345854.87,3
2024-03-04,342447.79,833.73,341614.06,3
2024-03-05,350467.89,1295.77,349172.12,3
2024-03-06,349694.12,853.71,348840.41,3
2024-03-07,350403.89,0.31,350403.57,3
2024-03-08,361011.47,1065.76,359945.71,3
2024-03-11,367307.01,20.19,367286.82,3
2024-03-12,373784.52,149.1,373635.42,3
2024-03-13,372622.64,867.79,371754.85,3
2024-03-14,365915.54,465.4,365450.14,3
2024-03-15,373274.16,301.26,372972.9,3
2024-03-18,374514.35,1629.24,372885.11,3
2024-03-19,375063.69,349.56,374714.13,3
2024-03-20,382899.54,98.04,382801.5,3
2024-03-21,384902.04,94.6,384807.43,3
2024-03-22,373670.1,80.73,373589.37,3
2024-03-25,378368.82,364.86,378003.96,3
2024-03-26,377330.37,1116.72,376213.65,3
2024-03-27,380403.65,356.29,380047.37,3
2024-03-28,383128.66,5.83,383122.83,3
2024-03-29,382334.94,613.71,381721.22,3
2024-04-01,383194.41,410.35,382784.06,3
2024-04-02,385768.67,275.78,385492.9,3
2024-04-03,385472.25,291.63,385180.62,3
2024-04-08,385991.44,818.04,385173.4,3
2024-04-09,390016.44,90.51,389925.93,3
2024-04-10,387207.29,252.47,386954.82,3
2024-04-11,370370.51,371.51,369999.0,3
2024-04-12,378868.12,60.03,378808.08,3
2024-04-15,372652.33,667.16,371985.18,3
2024-04-16,371804.46,1073.42,370731.04,3
2024-04-17,374067.57,287.13,373780.44,3
2024-04-18,372707.09,1181.1,371526.0,3
2024-04-19,375624.04,179.23,375444.81,3
2024-04-22,369785.46,263.59,369521.87,3
2024-04-23,372627.06,51.57,372575.49,3
2024-04-24,363042.59,430.2,362612.39,3
2024-04-25,361946.04,702.08,361243.96,3
2024-04-26,374325.7,1889.27,372436.43,3
2024-04-29,373217.45,1201.34,372016.11,3
2024-04-30,367684.07,1600.04,366084.02,3
2024-05-06,383795.49,3217.01,380578.48,3
2024-05-07,393172.88,4193.68,388979.21,3
2024-05-08,385066.31,618.35,384447.96,3
2024-05-09,387350.02,2205.14,385144.87,3
2024-05-10,388702.52,308.51,388394.01,3
2024-05-13,385883.49,6.38,385877.11,3
2024-05-14,389142.9,105.57,389037.32,3
2024-05-15,381501.03,345.7,381155.33,3
2024-05-16,387335.68,284.28,387051.41,3
2024-05-17,397702.81,75.81,397627.0,3
2024-05-20,400654.22,160.38,400493.84,3
2024-05-21,393873.0,580.84,393292.16,3
2024-05-22,390949.44,35.74,390913.7,3
2024-05-23,383329.4,841.55,382487.85,3
2024-05-24,384815.91,225.0,384590.91,3
2024-05-27,395338.84,1225.0,394113.83,3
2024-05-28,390876.84,1529.79,389347.05,3
2024-05-29,388309.49,3698.75,384610.74,3
2024-05-30,383602.76,187.12,383415.65,3
2024-05-31,385892.25,187.12,385705.13,3
2024-06-03,385748.63,650.18,385098.45,3
2024-06-04,385416.17,786.51,384629.66,3
2024-06-05,377179.65,1417.97,375761.69,3
2024-06-06,382046.97,438.75,381608.22,3
2024-06-07,386570.77,1090.76,385480.01,3
2024-06-11,378110.12,85.81,378024.31,3
2024-06-12,383394.91,467.47,382927.44,3
2024-06-13,391633.83,696.99,390936.85,3
2024-06-14,387817.65,371.19,387446.46,3
2024-06-17,382244.0,1144.25,381099.75,3
2024-06-18,382898.99,578.95,382320.04,3
2024-06-19,371462.36,2807.66,368654.7,3
2024-06-20,375050.73,689.28,374361.45,3
2024-06-21,374146.19,282.35,373863.84,3
2024-06-24,359665.83,741.46,358924.37,3
2024-06-25,357347.84,643.56,356704.28,3
2024-06-26,356438.12,231.05,356207.07,3
2024-06-27,358740.3,359.1,358381.2,3
2024-06-28,367451.49,349.38,367102.11,3
2024-07-01,374413.91,198.12,374215.79,3
2024-07-02,378098.76,198.12,377900.64,3
2024-07-03,374049.21,114.73,373934.47,3
2024-07-04,372940.53,284.12,372656.4,3
2024-07-05,378645.57,284.12,378361.45,3
2024-07-08,378666.04,181.76,378484.28,3
2024-07-09,386837.39,102.11,386735.28,3
2024-07-10,371479.42,1147.09,370332.33,3
2024-07-11,369373.48,386.32,368987.16,3
2024-07-12,365818.11,69.14,365748.96,3
2024-07-15,363162.47,213.07,362949.4,3
2024-07-16,367909.37,116.68,367792.68,3
2024-07-17,362405.0,35.37,362369.63,3
2024-07-18,371085.49,3702.62,367382.87,3
2024-07-19,358317.9,308.19,358009.71,3
2024-07-22,355941.08,142.97,355798.11,3
2024-07-23,345940.68,81.21,345859.46,3
2024-07-24,335991.88,4751.79,331240.09,3
2024-07-25,343755.19,228.5,343526.69,3
2024-07-26,340183.82,1356.24,338827.58,3
2024-07-29,343304.62,1050.32,342254.29,3
2024-07-30,353641.7,298.42,353343.27,3
2024-07-31,353207.69,27.81,353179.89,3
2024-08-01,356331.02,283.58,356047.45,3
2024-08-02,349918.09,283.58,349634.52,3
2024-08-05,338098.9,117714.81,220384.1,2
2024-08-06,348583.16,313.45,348269.71,3
2024-08-07,350020.63,395.01,349625.62,3
2024-08-08,347589.6,916.66,346672.94,3
2024-08-09,348241.37,7.02,348234.35,3
2024-08-12,349455.07,457.86,348997.21,3
2024-08-13,349670.58,457.86,349212.72,3
2024-08-14,347042.63,126.4,346916.23,3
2024-08-15,344417.4,1408.47,343008.93,3
