date,nav,cash,mkt_val,positions
2023-01-03,313775.11,2522.91,311252.2,3
2023-01-04,311682.22,4724.13,306958.09,3
2023-01-05,309243.92,386.49,308857.43,3
2023-01-06,310371.92,174.38,310197.54,3
2023-01-09,312493.83,327.02,312166.81,3
2023-01-10,304352.99,82.17,304270.82,3
2023-01-11,304199.1,102.39,304096.72,3
2023-01-12,301405.86,9.12,301396.73,3
2023-01-13,302586.7,1358.92,301227.78,3
2023-01-16,305203.8,3370.54,301833.26,3
2023-01-17,301301.85,471.2,300830.65,3
2023-01-18,301475.09,471.2,301003.89,3
2023-01-19,301887.88,5976.12,295911.76,3
2023-01-20,304162.67,188.4,303974.27,3
2023-01-30,308626.41,2863.13,305763.28,3
2023-01-31,304874.63,3695.67,301178.97,3
2023-02-01,313967.56,158.58,313808.97,3
2023-02-02,313574.76,1016.06,312558.69,3
2023-02-03,315555.43,1016.06,314539.37,3
2023-02-06,317407.04,312.42,317094.63,3
2023-02-07,318805.83,46.56,318759.28,3
2023-02-08,316664.02,432.02,316232.0,3
2023-02-09,324025.18,432.02,323593.16,3
2023-02-10,322451.69,478.27,321973.42,3
2023-02-13,321092.69,5527.15,315565.54,3
2023-02-14,324255.21,1065.88,323189.33,3
2023-02-15,325809.12,2935.93,322873.19,3
2023-02-16,322553.8,531.46,322022.35,3
2023-02-17,321344.23,202.97,321141.26,3
2023-02-20,326525.49,85.95,326439.54,3
2023-02-21,319625.94,106.35,319519.6,3
2023-02-22,318836.09,1564.73,317271.36,3
2023-02-23,319613.61,882.95,318730.66,3
2023-02-24,319950.38,826.46,319123.92,3
2023-02-27,319512.13,613.6,318898.53,3
2023-02-28,322478.77,613.6,321865.18,3
2023-03-01,323476.5,2631.68,320844.81,3
2023-03-02,321773.61,281.24,321492.37,3
2023-03-03,319448.46,281.24,319167.22,3
2023-03-06,316697.14,318.6,316378.54,3
2023-03-07,312449.39,69.2,312380.19,3
2023-03-08,315638.4,4401.08,311237.32,3
2023-03-09,310160.71,93.35,310067.36,3
2023-03-10,314555.41,655.62,313899.78,3
2023-03-13,323358.71,14.11,323344.6,3
2023-03-14,321567.64,2012.66,319554.98,3
2023-03-15,326222.65,161.83,326060.82,3
2023-03-16,332578.61,2366.7,330211.91,3
2023-03-17,336636.89,1769.57,334867.32,3
2023-03-20,341176.92,878.14,340298.78,3
2023-03-21,333705.38,2678.59,331026.79,3
2023-03-22,342172.7,55.02,342117.68,3
2023-03-23,341340.36,2093.43,339246.93,3
2023-03-24,343581.45,306.91,343274.54,3
2023-03-27,350455.7,669.63,349786.06,3
2023-03-28,350296.57,1631.53,348665.05,3
2023-03-29,353769.27,1186.91,352582.36,3
2023-03-30,350664.33,1076.01,349588.32,3
2023-03-31,355450.94,2326.57,353124.37,3
2023-04-03,366217.6,1100.41,365117.19,3
2023-04-04,372154.73,2722.3,369432.42,3
2023-04-06,350353.54,5558.2,344795.34,3
2023-04-07,350067.59,3180.15,346887.44,3
2023-04-10,355325.76,640.54,354685.22,3
2023-04-11,364822.28,1348.27,363474.01,3
2023-04-12,375978.69,787.57,375191.12,3
2023-04-13,373412.82,266.53,373146.29,3
2023-04-14,366087.33,520.96,365566.37,3
2023-04-17,368315.02,484.31,367830.71,3
2023-04-18,368947.72,28.81,368918.92,3
2023-04-19,373127.53,1246.48,371881.05,3
2023-04-20,377169.1,1661.04,375508.06,3
2023-04-21,365711.61,66.88,365644.74,3
2023-04-24,381541.59,164.09,381377.5,3
2023-04-25,376773.81,272.95,376500.86,3
2023-04-26,373954.58,1699.94,372254.64,3
2023-04-27,371267.85,264.71,371003.14,3
2023-04-28,386697.39,1098.71,385598.68,3
2023-05-04,394633.89,736.39,393897.49,3
2023-05-05,376351.72,469.74,375881.98,3
2023-05-08,394082.46,661.58,393420.89,3
2023-05-09,379776.57,3302.39,376474.18,3
2023-05-10,385227.31,69.36,385157.95,3
2023-05-11,434724.19,62.58,434661.61,3
2023-05-12,421959.28,791.93,421167.35,3
2023-05-15,416577.58,441.37,416136.21,3
2023-05-16,391926.63,2187.44,389739.19,3
2023-05-17,405933.86,578.52,405355.34,3
2023-05-18,403867.11,142.22,403724.89,3
2023-05-19,411166.65,1273.24,409893.41,3
2023-05-22,410279.75,588.11,409691.64,3
2023-05-23,406356.67,588.11,405768.56,3
2023-05-24,395879.53,458.35,395421.19,3
2023-05-25,399094.73,2186.42,396908.31,3
2023-05-26,410075.32,279.18,409796.14,3
2023-05-29,409716.84,1452.77,408264.07,3
2023-05-30,415194.9,504.47,414690.43,3
2023-05-31,414359.28,427.48,413931.8,3
2023-06-01,407135.23,279.38,406855.85,3
2023-06-02,401526.01,68.07,401457.94,3
2023-06-05,401895.61,68.07,401827.54,3
2023-06-06,391572.33,213.03,391359.3,3
2023-06-07,392591.38,92.16,392499.22,3
2023-06-08,385062.98,99.97,384963.0,3
2023-06-09,403539.9,554.12,402985.79,3
2023-06-12,402788.15,607.47,402180.68,3
2023-06-13,404123.34,76.41,404046.93,3
2023-06-14,401066.81,705.98,400360.83,3
2023-06-15,397985.31,522.67,397462.65,3
2023-06-16,406706.65,4245.22,402461.43,3
2023-06-19,420912.89,1201.29,419711.6,3
2023-06-20,420445.61,1201.29,419244.32,3
2023-06-21,406479.94,858.36,405621.58,3
2023-06-26,396066.33,630.3,395436.03,3
2023-06-27,408101.92,397.86,407704.05,3
2023-06-28,405064.42,23.93,405040.49,3
