date,nav,cash,mkt_val,positions
2025-01-02,298269.51,201687.7,96581.81,1
2025-01-03,301730.29,199788.23,101942.05,1
2025-01-06,295171.81,1264.29,293907.52,3
2025-01-07,315857.19,632.89,315224.3,3
2025-01-08,318416.05,105573.03,212843.03,2
2025-01-09,316573.37,103829.39,212743.97,2
2025-01-10,310427.38,103829.1,206598.28,2
2025-01-13,306630.58,1503.96,305126.63,3
2025-01-14,319232.0,7102.44,312129.56,3
2025-01-15,317242.07,383.11,316858.97,3
2025-01-16,313261.83,383.11,312878.72,3
2025-01-17,314547.07,383.11,314163.96,3
2025-01-20,310188.53,1724.27,308464.26,3
2025-01-21,318527.37,104834.75,213692.62,2
2025-01-22,313565.25,211813.77,101751.49,1
2025-01-23,300947.71,1604.17,299343.53,3
2025-01-24,310877.33,997.49,309879.84,3
2025-01-27,302380.23,202463.67,99916.56,1
2025-02-05,315461.36,101734.3,213727.05,2
2025-02-06,329081.42,1004.25,328077.18,3
2025-02-07,332696.52,507.12,332189.39,3
2025-02-10,345639.41,232.14,345407.27,3
2025-02-11,347816.39,116911.61,230904.78,2
2025-02-12,342919.14,1313.4,341605.74,3
2025-02-13,339101.89,180.04,338921.85,3
2025-02-14,337883.06,221562.35,116320.71,1
2025-02-17,348430.93,65.3,348365.63,3
2025-02-18,332713.59,223161.78,109551.81,1
2025-02-19,337881.17,402.89,337478.28,3
2025-02-20,338294.16,528.17,337765.99,3
2025-02-21,357410.7,120607.39,236803.31,2
2025-02-24,342724.76,1253.23,341471.54,3
2025-02-25,342942.9,116396.42,226546.48,2
2025-02-26,343604.29,114963.94,228640.35,2
2025-02-27,336700.86,227272.04,109428.82,1
2025-02-28,336995.82,336995.82,0.0,0
2025-03-03,338825.07,114396.97,224428.1,2
2025-03-04,337198.68,416.41,336782.27,3
2025-03-05,352110.38,117904.31,234206.07,2
2025-03-06,372683.42,1478.84,371204.58,3
2025-03-07,359365.53,2715.6,356649.93,3
2025-03-10,355683.52,121063.45,234620.07,2
2025-03-11,374025.79,1662.18,372363.61,3
2025-03-12,389565.03,224.04,389340.98,3
2025-03-13,406611.34,136416.64,270194.7,2
2025-03-14,409421.05,545.01,408876.05,3
2025-03-17,403097.0,2013.92,401083.08,3
2025-03-18,395439.76,1208.25,394231.51,3
2025-03-19,392233.98,132149.03,260084.95,2
2025-03-20,395209.36,129790.58,265418.78,2
2025-03-21,383449.58,127890.14,255559.44,2
