code,buy_date,buy_price,qty,days_held,highest_price,last_price_1455,mkt_val,unrealized_pct,trend_type
603398,2026-03-24,11.0917,5000,26,13.17,12.45,62250.0,12.246,RISING
002620,2026-04-07,9.1614,6000,17,10.97,9.98,59880.0,8.936,RISING
605100,2026-04-14,45.8969,1200,12,53.22,49.04,58848.0,6.848,RISING
600338,2026-04-29,25.8339,1700,1,28.25,27.6,46920.0,6.836,RISING
688378,2026-04-30,43.6165,1700,0,44.46,44.31,75327.0,1.59,RISING
── SUMMARY ──,,,,,,,303225.0,,cash=552.87  mkt_val=303225.0  total_nav=303777.87  return=+1.259%
