datetime,open,high,low,close,volume,amount
2026-05-08 09:35:00,26.3,27.97,26.14,27.8,7372339,202624142.0
2026-05-08 09:40:00,27.79,27.95,27.54,27.57,4801710,133340204.0
2026-05-08 09:45:00,27.54,27.56,27.0,27.09,2210100,60198627.0
2026-05-08 09:50:00,27.08,27.13,26.98,27.08,1354285,36628996.0
2026-05-08 09:55:00,27.1,27.3,26.98,27.3,1132217,30693020.0
2026-05-08 10:00:00,27.33,27.4,27.07,27.07,1258900,34296852.0
2026-05-08 10:05:00,27.08,27.09,26.72,26.72,1525400,41006249.0
2026-05-08 10:10:00,26.74,26.76,26.55,26.6,1477700,39377581.0
2026-05-08 10:15:00,26.59,26.69,26.53,26.57,749800,19942434.0
2026-05-08 10:20:00,26.55,26.55,26.33,26.34,1071400,28312424.0
2026-05-08 10:25:00,26.35,26.36,26.13,26.13,2017000,52857399.0
2026-05-08 10:30:00,26.13,26.15,26.0,26.07,720200,18770211.0
2026-05-08 10:35:00,26.09,26.12,25.87,25.87,850300,22070482.0
2026-05-08 10:40:00,25.87,26.2,25.87,26.17,784100,20424630.0
2026-05-08 10:45:00,26.17,26.37,26.11,26.14,614500,16116413.0
2026-05-08 10:50:00,26.1,26.11,25.98,25.99,522500,13613239.0
2026-05-08 10:55:00,25.97,25.99,25.88,25.9,443600,11502864.0
2026-05-08 11:00:00,25.91,25.94,25.88,25.91,273200,7076585.0
2026-05-08 11:05:00,25.91,26.0,25.86,25.91,601800,15601475.0
2026-05-08 11:10:00,25.91,26.01,25.9,26.0,307400,7981793.0
2026-05-08 11:15:00,26.0,26.08,25.96,26.0,265200,6898406.0
2026-05-08 11:20:00,26.01,26.01,25.82,25.89,452600,11719467.0
2026-05-08 11:25:00,25.85,25.89,25.76,25.88,419389,10829366.0
2026-05-08 11:30:00,25.86,25.89,25.83,25.88,259800,6717134.0
2026-05-08 13:05:00,25.87,25.88,25.61,25.65,954511,24576940.0
2026-05-08 13:10:00,25.65,25.65,25.54,25.54,749400,19178230.0
2026-05-08 13:15:00,25.56,25.7,25.53,25.53,868900,22242137.0
2026-05-08 13:20:00,25.53,25.53,25.43,25.47,997874,25425554.0
2026-05-08 13:25:00,25.47,25.54,25.39,25.39,561100,14286383.0
2026-05-08 13:30:00,25.38,25.4,25.32,25.4,717100,18192692.0
2026-05-08 13:35:00,25.41,25.49,25.3,25.32,1177500,29874999.0
2026-05-08 13:40:00,25.33,25.33,25.2,25.23,1127000,28480017.0
2026-05-08 13:45:00,25.25,25.28,25.19,25.22,928023,23413610.0
2026-05-08 13:50:00,25.22,25.28,25.18,25.19,782200,19724609.0
2026-05-08 13:55:00,25.2,25.22,25.01,25.15,1079920,27132375.0
2026-05-08 14:00:00,25.13,25.14,25.04,25.14,1023500,25672178.0
2026-05-08 14:05:00,25.13,25.23,25.12,25.22,722700,18195663.0
2026-05-08 14:10:00,25.23,25.44,25.21,25.4,754503,19083102.0
2026-05-08 14:15:00,25.39,25.46,25.3,25.38,745600,18923491.0
2026-05-08 14:20:00,25.38,25.38,25.27,25.33,435900,11034980.0
2026-05-08 14:25:00,25.32,25.38,25.23,25.26,763200,19308830.0
2026-05-08 14:30:00,25.27,25.41,25.26,25.41,307600,7793043.0
2026-05-08 14:35:00,25.41,25.49,25.39,25.41,428700,10902240.0
2026-05-08 14:40:00,25.4,25.51,25.39,25.41,476400,12121085.0
2026-05-08 14:45:00,25.41,25.47,25.39,25.44,847805,21556808.0
2026-05-08 14:50:00,25.45,25.45,25.33,25.39,920200,23356099.0
2026-05-08 14:55:00,25.4,25.42,25.34,25.36,815000,20683517.0
2026-05-08 15:00:00,25.38,25.43,25.37,25.43,679000,17249637.0
