datetime,open,high,low,close,volume,amount
2026-05-08 09:35:00,14.33,14.37,14.18,14.37,443600,6321342.0
2026-05-08 09:40:00,14.37,14.37,14.28,14.31,302700,4333309.0
2026-05-08 09:45:00,14.31,14.4,14.3,14.4,274300,3934613.0
2026-05-08 09:50:00,14.4,14.4,14.32,14.39,335900,4823751.0
2026-05-08 09:55:00,14.39,14.5,14.38,14.48,417500,6030539.0
2026-05-08 10:00:00,14.48,14.5,14.45,14.47,233900,3387250.0
2026-05-08 10:05:00,14.47,14.48,14.4,14.42,141800,2046938.0
2026-05-08 10:10:00,14.42,14.44,14.38,14.39,102200,1472392.0
2026-05-08 10:15:00,14.39,14.45,14.39,14.39,117200,1689663.0
2026-05-08 10:20:00,14.39,14.43,14.39,14.42,94900,1366865.0
2026-05-08 10:25:00,14.42,14.43,14.37,14.37,79500,1144641.0
2026-05-08 10:30:00,14.36,14.42,14.36,14.42,143900,2071747.0
2026-05-08 10:35:00,14.42,14.45,14.41,14.43,105300,1519426.0
2026-05-08 10:40:00,14.42,14.47,14.42,14.46,95300,1377472.0
2026-05-08 10:45:00,14.47,14.47,14.42,14.43,41900,605368.0
2026-05-08 10:50:00,14.43,14.43,14.38,14.38,38200,550430.0
2026-05-08 10:55:00,14.39,14.39,14.37,14.38,71200,1023698.0
2026-05-08 11:00:00,14.38,14.39,14.37,14.39,84500,1215630.0
2026-05-08 11:05:00,14.39,14.4,14.34,14.35,142100,2040960.0
2026-05-08 11:10:00,14.35,14.38,14.34,14.38,94000,1349595.0
2026-05-08 11:15:00,14.37,14.39,14.37,14.38,69400,998015.0
2026-05-08 11:20:00,14.38,14.39,14.36,14.38,48900,703142.0
2026-05-08 11:25:00,14.38,14.39,14.37,14.37,33700,484597.0
2026-05-08 11:30:00,14.37,14.39,14.36,14.38,46900,674020.0
2026-05-08 13:05:00,14.39,14.5,14.37,14.5,335500,4852849.0
2026-05-08 13:10:00,14.5,14.52,14.47,14.48,256200,3714331.0
2026-05-08 13:15:00,14.48,14.5,14.47,14.48,52800,764672.0
2026-05-08 13:20:00,14.48,14.5,14.48,14.49,59900,867820.0
2026-05-08 13:25:00,14.49,14.49,14.46,14.48,80400,1163729.0
2026-05-08 13:30:00,14.48,14.5,14.48,14.49,100900,1462346.0
2026-05-08 13:35:00,14.49,14.52,14.48,14.48,189700,2750118.0
2026-05-08 13:40:00,14.48,14.5,14.47,14.5,77589,1123741.0
2026-05-08 13:45:00,14.5,14.5,14.47,14.48,52711,763334.0
2026-05-08 13:50:00,14.48,14.49,14.48,14.49,10300,149182.0
2026-05-08 13:55:00,14.49,14.52,14.48,14.51,183500,2660448.0
2026-05-08 14:00:00,14.51,14.51,14.48,14.48,104100,1508976.0
2026-05-08 14:05:00,14.49,14.5,14.48,14.49,88700,1285431.0
2026-05-08 14:10:00,14.49,14.55,14.49,14.52,415540,6034132.0
2026-05-08 14:15:00,14.52,14.53,14.51,14.53,89100,1293709.0
2026-05-08 14:20:00,14.52,14.53,14.51,14.52,64800,941008.0
2026-05-08 14:25:00,14.53,14.53,14.51,14.52,61600,894581.0
2026-05-08 14:30:00,14.52,14.52,14.49,14.51,78500,1138685.0
2026-05-08 14:35:00,14.51,14.53,14.5,14.52,96200,1396134.0
2026-05-08 14:40:00,14.52,14.52,14.48,14.49,96000,1392172.0
2026-05-08 14:45:00,14.49,14.5,14.47,14.47,145900,2113724.0
2026-05-08 14:50:00,14.47,14.49,14.47,14.48,225700,3267860.0
2026-05-08 14:55:00,14.47,14.48,14.43,14.44,229700,3321091.0
2026-05-08 15:00:00,14.43,14.45,14.42,14.45,339340,4900429.0
