datetime,open,high,low,close,volume,amount
2026-05-06 09:35:00,18.4,18.81,18.39,18.4,8739242,162216476.0
2026-05-06 09:40:00,18.41,18.53,18.2,18.24,4248127,77870454.0
2026-05-06 09:45:00,18.24,18.28,17.8,17.82,6155900,111110816.0
2026-05-06 09:50:00,17.82,17.83,17.35,17.61,12043200,211994204.0
2026-05-06 09:55:00,17.61,17.73,17.58,17.7,3598300,63535030.0
2026-05-06 10:00:00,17.69,17.71,17.44,17.48,5448900,95537999.0
2026-05-06 10:05:00,17.47,17.66,17.43,17.66,3738700,65371959.0
2026-05-06 10:10:00,17.66,17.82,17.63,17.82,2696200,47741957.0
2026-05-06 10:15:00,17.82,17.87,17.77,17.84,1840000,32788604.0
2026-05-06 10:20:00,17.84,17.9,17.8,17.83,1624800,28987039.0
2026-05-06 10:25:00,17.82,17.84,17.71,17.74,1926000,34234290.0
2026-05-06 10:30:00,17.75,17.82,17.71,17.81,768900,13660845.0
2026-05-06 10:35:00,17.8,17.85,17.78,17.81,1232000,21960208.0
2026-05-06 10:40:00,17.81,17.83,17.8,17.81,862000,15354279.0
2026-05-06 10:45:00,17.81,17.84,17.73,17.8,1494000,26542624.0
2026-05-06 10:50:00,17.78,17.89,17.78,17.79,982700,17527383.0
2026-05-06 10:55:00,17.79,17.86,17.78,17.86,438400,7807019.0
2026-05-06 11:00:00,17.86,17.94,17.86,17.94,719800,12885675.0
2026-05-06 11:05:00,17.95,17.96,17.88,17.89,983500,17622308.0
2026-05-06 11:10:00,17.89,17.94,17.88,17.89,785500,14071345.0
2026-05-06 11:15:00,17.89,17.9,17.86,17.88,579500,10359095.0
2026-05-06 11:20:00,17.88,17.93,17.88,17.91,413800,7410175.0
2026-05-06 11:25:00,17.91,17.94,17.9,17.92,243200,4357664.0
2026-05-06 11:30:00,17.91,17.94,17.86,17.93,729200,13056978.0
2026-05-06 13:05:00,17.92,17.93,17.81,17.85,1041810,18612247.0
2026-05-06 13:10:00,17.85,17.88,17.84,17.87,554200,9898232.0
2026-05-06 13:15:00,17.87,17.89,17.73,17.77,1601500,28511371.0
2026-05-06 13:20:00,17.73,17.81,17.73,17.8,487400,8662473.0
2026-05-06 13:25:00,17.79,17.81,17.76,17.76,500800,8903661.0
2026-05-06 13:30:00,17.77,17.78,17.74,17.76,690800,12269683.0
2026-05-06 13:35:00,17.76,17.76,17.7,17.72,1310800,23230628.0
2026-05-06 13:40:00,17.72,17.75,17.71,17.75,699000,12389870.0
2026-05-06 13:45:00,17.74,17.76,17.68,17.7,2136500,37827338.0
2026-05-06 13:50:00,17.7,17.72,17.69,17.72,687100,12166027.0
2026-05-06 13:55:00,17.72,17.75,17.67,17.68,1490600,26379615.0
2026-05-06 14:00:00,17.68,17.79,17.65,17.79,1781700,31536372.0
2026-05-06 14:05:00,17.77,17.83,17.76,17.79,711600,12669512.0
2026-05-06 14:10:00,17.78,17.79,17.71,17.71,775200,13762220.0
2026-05-06 14:15:00,17.72,17.78,17.68,17.78,1032400,18283263.0
2026-05-06 14:20:00,17.77,17.82,17.76,17.81,641406,11417541.0
2026-05-06 14:25:00,17.81,17.85,17.81,17.81,607400,10827854.0
2026-05-06 14:30:00,17.81,17.87,17.8,17.85,812200,14490022.0
2026-05-06 14:35:00,17.84,17.85,17.72,17.73,1254900,22291679.0
2026-05-06 14:40:00,17.73,17.74,17.72,17.73,978100,17340984.0
2026-05-06 14:45:00,17.74,17.79,17.73,17.77,1111400,19744751.0
2026-05-06 14:50:00,17.78,17.8,17.76,17.8,983795,17498380.0
2026-05-06 14:55:00,17.8,17.82,17.78,17.8,1743400,31029208.0
2026-05-06 15:00:00,17.79,17.99,17.79,17.99,1877200,33633334.0
