datetime,open,high,low,close,volume,amount
2026-05-08 09:35:00,15.53,15.59,15.42,15.56,3720500,57787965.0
2026-05-08 09:40:00,15.55,15.7,15.54,15.7,1971300,30771636.0
2026-05-08 09:45:00,15.72,15.76,15.71,15.74,1676300,26371853.0
2026-05-08 09:50:00,15.74,15.83,15.74,15.8,1603400,25308718.0
2026-05-08 09:55:00,15.8,15.86,15.8,15.83,1464800,23198809.0
2026-05-08 10:00:00,15.84,15.88,15.81,15.84,1417000,22455387.0
2026-05-08 10:05:00,15.84,15.93,15.79,15.92,1910500,30265533.0
2026-05-08 10:10:00,15.92,15.99,15.92,15.97,2169800,34633223.0
2026-05-08 10:15:00,15.96,15.97,15.87,15.87,1243400,19793456.0
2026-05-08 10:20:00,15.87,15.9,15.82,15.9,1080400,17127475.0
2026-05-08 10:25:00,15.9,15.9,15.78,15.83,914200,14465972.0
2026-05-08 10:30:00,15.84,15.84,15.76,15.78,1296600,20478766.0
2026-05-08 10:35:00,15.78,15.87,15.78,15.85,827150,13087805.5
2026-05-08 10:40:00,15.85,15.9,15.83,15.89,880900,13974682.0
2026-05-08 10:45:00,15.9,15.9,15.84,15.85,341830,5422039.2
2026-05-08 10:50:00,15.85,15.9,15.84,15.88,499700,7932310.0
2026-05-08 10:55:00,15.87,15.88,15.81,15.81,451200,7149947.0
2026-05-08 11:00:00,15.8,15.81,15.75,15.76,899900,14191927.0
2026-05-08 11:05:00,15.74,15.76,15.68,15.68,2137600,33575959.0
2026-05-08 11:10:00,15.67,15.77,15.67,15.74,784100,12331560.0
2026-05-08 11:15:00,15.74,15.78,15.74,15.76,465300,7333007.0
2026-05-08 11:20:00,15.76,15.76,15.7,15.7,519600,8169078.0
2026-05-08 11:25:00,15.72,15.73,15.69,15.72,520500,8173779.0
2026-05-08 11:30:00,15.71,15.72,15.69,15.7,399100,6265925.0
2026-05-08 13:05:00,15.71,15.85,15.71,15.84,852600,13448555.0
2026-05-08 13:10:00,15.84,15.86,15.81,15.85,567600,8993171.0
2026-05-08 13:15:00,15.85,15.95,15.85,15.92,1064960,16942230.8
2026-05-08 13:20:00,15.92,15.95,15.9,15.94,864300,13765541.0
2026-05-08 13:25:00,15.94,16.07,15.93,16.02,3075630,49222179.3
2026-05-08 13:30:00,16.03,16.05,16.0,16.05,872900,13980649.0
2026-05-08 13:35:00,16.05,16.07,16.01,16.02,776710,12457807.5
2026-05-08 13:40:00,16.02,16.04,16.0,16.01,684200,10963970.0
2026-05-08 13:45:00,16.0,16.02,15.97,16.0,686500,10982857.0
2026-05-08 13:50:00,15.99,16.01,15.95,15.97,650600,10392567.0
2026-05-08 13:55:00,15.97,16.05,15.96,16.05,883200,14136767.0
2026-05-08 14:00:00,16.05,16.05,16.0,16.01,435800,6982491.0
2026-05-08 14:05:00,16.01,16.03,16.0,16.01,369600,5919220.0
2026-05-08 14:10:00,16.01,16.03,15.98,15.98,732000,11720843.0
2026-05-08 14:15:00,15.98,16.02,15.97,16.02,471100,7538478.0
2026-05-08 14:20:00,16.02,16.03,16.0,16.01,502600,8050398.0
2026-05-08 14:25:00,16.01,16.04,16.01,16.03,768200,12313505.0
2026-05-08 14:30:00,16.03,16.03,15.98,15.99,600900,9613775.0
2026-05-08 14:35:00,15.99,16.0,15.98,15.99,553800,8857066.0
2026-05-08 14:40:00,15.99,16.01,15.98,16.0,622000,9949447.0
2026-05-08 14:45:00,16.0,16.02,15.99,16.02,867900,13893477.0
2026-05-08 14:50:00,16.02,16.02,16.0,16.01,1236300,19797365.7
2026-05-08 14:55:00,16.01,16.02,15.99,16.01,1607930,25733573.7
2026-05-08 15:00:00,16.02,16.02,16.0,16.02,1494150,23931609.0
