datetime,open,high,low,close,volume,amount
2026-05-08 09:35:00,5.53,5.55,5.46,5.55,6284602,34685100.04
2026-05-08 09:40:00,5.55,5.57,5.47,5.51,2754398,15191041.92
2026-05-08 09:45:00,5.51,5.55,5.5,5.51,1560300,8632970.0
2026-05-08 09:50:00,5.53,5.53,5.49,5.5,1200100,6599978.0
2026-05-08 09:55:00,5.5,5.52,5.5,5.51,848800,4681479.0
2026-05-08 10:00:00,5.51,5.52,5.48,5.49,1159700,6378029.0
2026-05-08 10:05:00,5.49,5.5,5.47,5.48,589200,3230897.0
2026-05-08 10:10:00,5.48,5.5,5.47,5.49,250900,1376244.0
2026-05-08 10:15:00,5.49,5.5,5.48,5.49,186500,1023884.0
2026-05-08 10:20:00,5.49,5.5,5.48,5.48,166400,913162.0
2026-05-08 10:25:00,5.49,5.5,5.48,5.48,276900,1521780.0
2026-05-08 10:30:00,5.48,5.5,5.48,5.5,306700,1685748.0
2026-05-08 10:35:00,5.5,5.51,5.49,5.5,320300,1761668.0
2026-05-08 10:40:00,5.5,5.52,5.5,5.51,198700,1094467.0
2026-05-08 10:45:00,5.51,5.54,5.51,5.54,388400,2146051.0
2026-05-08 10:50:00,5.53,5.54,5.52,5.52,156000,862915.0
2026-05-08 10:55:00,5.52,5.53,5.51,5.52,254700,1405788.0
2026-05-08 11:00:00,5.51,5.53,5.51,5.52,276200,1525243.0
2026-05-08 11:05:00,5.52,5.53,5.5,5.51,246800,1360324.0
2026-05-08 11:10:00,5.51,5.52,5.51,5.52,246700,1360629.0
2026-05-08 11:15:00,5.51,5.55,5.51,5.55,816700,4516123.0
2026-05-08 11:20:00,5.54,5.55,5.54,5.55,111500,618535.0
2026-05-08 11:25:00,5.55,5.57,5.55,5.57,670200,3729485.0
2026-05-08 11:30:00,5.57,5.58,5.56,5.56,456800,2544677.0
2026-05-08 13:05:00,5.57,5.65,5.57,5.63,1194300,6703834.0
2026-05-08 13:10:00,5.63,5.65,5.63,5.64,735600,4149356.0
2026-05-08 13:15:00,5.63,5.65,5.63,5.63,858500,4840583.0
2026-05-08 13:20:00,5.63,5.63,5.59,5.6,917302,5141110.18
2026-05-08 13:25:00,5.6,5.6,5.55,5.56,1345498,7507309.82
2026-05-08 13:30:00,5.56,5.57,5.55,5.56,256800,1428162.0
2026-05-08 13:35:00,5.56,5.58,5.55,5.57,127300,708554.0
2026-05-08 13:40:00,5.57,5.59,5.57,5.59,259900,1449967.98
2026-05-08 13:45:00,5.59,5.61,5.58,5.58,474500,2653017.0
2026-05-08 13:50:00,5.58,5.58,5.57,5.57,141400,788551.0
2026-05-08 13:55:00,5.57,5.6,5.57,5.59,117300,655134.0
2026-05-08 14:00:00,5.59,5.6,5.59,5.59,295600,1654304.0
2026-05-08 14:05:00,5.59,5.6,5.57,5.6,280000,1564645.0
2026-05-08 14:10:00,5.6,5.6,5.58,5.58,45200,252468.0
2026-05-08 14:15:00,5.58,5.59,5.58,5.58,198100,1106546.0
2026-05-08 14:20:00,5.59,5.59,5.58,5.58,151000,842941.0
2026-05-08 14:25:00,5.58,5.59,5.57,5.58,207200,1156264.0
2026-05-08 14:30:00,5.58,5.59,5.57,5.58,180000,1005071.0
2026-05-08 14:35:00,5.58,5.59,5.58,5.58,193300,1078946.0
2026-05-08 14:40:00,5.58,5.59,5.57,5.58,487400,2718468.0
2026-05-08 14:45:00,5.58,5.59,5.58,5.59,226000,1261963.0
2026-05-08 14:50:00,5.59,5.59,5.57,5.58,376600,2100938.0
2026-05-08 14:55:00,5.57,5.58,5.57,5.57,346800,1933087.0
2026-05-08 15:00:00,5.57,5.59,5.57,5.59,648100,3621009.0
