datetime,open,high,low,close,volume,amount
2026-05-07 09:35:00,81.3,81.86,80.26,81.14,1258583,101849281.0
2026-05-07 09:40:00,81.2,83.55,81.14,83.51,1035277,85828698.0
2026-05-07 09:45:00,83.6,84.87,83.6,84.8,1433100,120704829.0
2026-05-07 09:50:00,84.77,85.35,84.57,85.01,1044700,88775814.0
2026-05-07 09:55:00,85.0,86.45,85.0,85.41,1406785,120648747.0
2026-05-07 10:00:00,85.38,85.6,84.82,84.82,409000,34828298.0
2026-05-07 10:05:00,84.82,85.88,84.33,85.88,326800,27665770.0
2026-05-07 10:10:00,86.18,87.58,86.18,86.4,1483200,129017191.0
2026-05-07 10:15:00,86.36,86.5,85.73,85.77,280000,24100803.0
2026-05-07 10:20:00,85.77,85.87,85.4,85.4,155200,13295940.0
2026-05-07 10:25:00,85.22,85.47,84.89,85.37,214800,18288319.0
2026-05-07 10:30:00,85.29,85.36,84.94,85.07,161300,13735572.0
2026-05-07 10:35:00,85.06,85.35,84.98,85.29,111400,9483434.0
2026-05-07 10:40:00,85.35,85.35,84.95,85.1,136800,11639443.0
2026-05-07 10:45:00,85.08,85.08,84.73,84.79,138200,11732538.0
2026-05-07 10:50:00,84.83,85.25,84.82,85.25,114800,9753729.0
2026-05-07 10:55:00,85.25,85.49,85.21,85.34,125500,10714501.0
2026-05-07 11:00:00,85.3,85.34,85.11,85.3,61800,5264931.0
2026-05-07 11:05:00,85.29,85.47,85.02,85.39,115800,9870017.0
2026-05-07 11:10:00,85.39,85.71,85.31,85.39,104600,8942708.0
2026-05-07 11:15:00,85.39,85.39,84.91,85.08,69700,5931734.0
2026-05-07 11:20:00,85.08,85.39,84.98,85.23,78100,6648964.0
2026-05-07 11:25:00,85.23,85.29,85.05,85.22,58600,4990686.0
2026-05-07 11:30:00,85.31,85.58,85.29,85.42,84000,7179025.0
2026-05-07 13:05:00,85.42,86.09,85.4,85.7,306000,26208813.0
2026-05-07 13:10:00,85.57,85.73,84.92,85.43,187500,15978274.0
2026-05-07 13:15:00,85.48,85.85,85.28,85.45,274800,23505448.0
2026-05-07 13:20:00,85.43,85.62,85.34,85.46,117900,10075694.0
2026-05-07 13:25:00,85.5,85.5,85.18,85.4,108300,9246759.0
2026-05-07 13:30:00,85.4,85.4,85.0,85.15,107200,9125334.0
2026-05-07 13:35:00,85.15,85.72,85.0,85.7,131100,11195725.0
2026-05-07 13:40:00,85.7,86.17,85.55,85.55,192900,16575393.0
2026-05-07 13:45:00,85.49,85.67,85.36,85.54,77000,6586441.0
2026-05-07 13:50:00,85.5,85.7,85.45,85.6,87000,7449096.0
2026-05-07 13:55:00,85.6,85.67,85.36,85.4,59700,5107424.0
2026-05-07 14:00:00,85.39,85.48,85.39,85.4,77400,6612036.0
2026-05-07 14:05:00,85.4,85.66,85.38,85.64,95700,8178672.0
2026-05-07 14:10:00,85.62,86.2,85.58,86.2,226300,19433477.0
2026-05-07 14:15:00,86.2,86.68,86.2,86.49,369200,31911361.0
2026-05-07 14:20:00,86.49,87.2,86.41,87.2,400300,34748162.0
2026-05-07 14:25:00,87.17,87.21,86.78,86.92,187500,16303037.0
2026-05-07 14:30:00,86.9,86.91,86.54,86.78,124900,10824694.0
2026-05-07 14:35:00,86.8,87.02,86.66,86.99,172700,15005576.0
2026-05-07 14:40:00,86.99,86.99,86.61,86.74,140800,12214899.0
2026-05-07 14:45:00,86.73,86.85,86.51,86.67,178700,15491650.0
2026-05-07 14:50:00,86.6,87.01,86.55,87.01,411500,35726838.0
2026-05-07 14:55:00,87.01,87.01,86.76,86.89,314500,27331499.0
2026-05-07 15:00:00,86.8,86.97,86.7,86.7,263500,22870756.0
