datetime,open,high,low,close,volume,amount
2026-05-08 09:35:00,84.45,85.99,84.0,85.79,583640,49873857.0
2026-05-08 09:40:00,85.79,86.49,85.6,86.09,591664,50927442.0
2026-05-08 09:45:00,85.91,85.99,84.69,85.29,350269,29887617.0
2026-05-08 09:50:00,85.3,85.68,85.11,85.28,184050,15709839.0
2026-05-08 09:55:00,85.28,85.4,84.83,85.02,137002,11642013.0
2026-05-08 10:00:00,85.03,85.43,84.99,85.18,88196,7517991.0
2026-05-08 10:05:00,85.18,85.18,84.06,84.08,371190,31368926.0
2026-05-08 10:10:00,84.06,84.12,83.8,84.0,423864,35580899.0
2026-05-08 10:15:00,83.98,83.98,83.3,83.3,337121,28210610.0
2026-05-08 10:20:00,83.31,83.57,83.11,83.57,239009,19904294.0
2026-05-08 10:25:00,83.57,83.58,83.12,83.21,241237,20082367.0
2026-05-08 10:30:00,83.16,83.16,83.0,83.01,207279,17215757.0
2026-05-08 10:35:00,83.04,83.27,82.8,83.2,249757,20732259.0
2026-05-08 10:40:00,83.3,83.41,83.15,83.39,112933,9402360.0
2026-05-08 10:45:00,83.38,83.81,83.38,83.47,116663,9748166.0
2026-05-08 10:50:00,83.47,83.47,83.23,83.23,37310,3109910.0
2026-05-08 10:55:00,83.23,83.24,82.93,82.95,125826,10455652.0
2026-05-08 11:00:00,82.93,82.93,82.74,82.77,255444,21150944.0
2026-05-08 11:05:00,82.77,82.77,82.35,82.39,216992,17900669.0
2026-05-08 11:10:00,82.39,82.49,82.3,82.49,222184,18297034.0
2026-05-08 11:15:00,82.49,83.17,82.44,83.08,123915,10274603.0
2026-05-08 11:20:00,83.08,83.08,82.33,82.57,57449,4752432.0
2026-05-08 11:25:00,82.57,82.57,82.28,82.46,180680,14878693.0
2026-05-08 11:30:00,82.46,82.67,82.34,82.45,55841,4603701.0
2026-05-08 13:05:00,82.45,82.53,82.29,82.3,116554,9598637.0
2026-05-08 13:10:00,82.31,82.49,82.29,82.29,96790,7970806.0
2026-05-08 13:15:00,82.29,82.43,82.29,82.41,82371,6784075.0
2026-05-08 13:20:00,82.41,82.41,82.3,82.3,94487,7780743.0
2026-05-08 13:25:00,82.3,82.38,82.18,82.19,169210,13925348.0
2026-05-08 13:30:00,82.18,82.36,82.11,82.32,136338,11206311.0
2026-05-08 13:35:00,82.34,82.34,82.1,82.14,108504,8920103.0
2026-05-08 13:40:00,82.14,82.15,82.07,82.1,121920,10008443.0
2026-05-08 13:45:00,82.1,82.49,82.07,82.45,113688,9357528.0
2026-05-08 13:50:00,82.45,82.47,82.42,82.44,32987,2719260.0
2026-05-08 13:55:00,82.43,82.56,82.41,82.56,64441,5315220.0
2026-05-08 14:00:00,82.56,82.64,82.4,82.62,99157,8175916.0
2026-05-08 14:05:00,82.62,82.62,82.42,82.42,105756,8729290.0
2026-05-08 14:10:00,82.42,82.43,82.15,82.16,100204,8252347.0
2026-05-08 14:15:00,82.16,82.16,81.8,81.86,303284,24842546.0
2026-05-08 14:20:00,81.85,81.93,81.82,81.93,126412,10347127.0
2026-05-08 14:25:00,81.93,81.96,81.51,81.65,268861,21963761.0
2026-05-08 14:30:00,81.65,81.76,81.52,81.73,101871,8316747.0
2026-05-08 14:35:00,81.73,81.76,81.52,81.54,116468,9510669.0
2026-05-08 14:40:00,81.54,81.55,81.34,81.35,228718,18629624.0
2026-05-08 14:45:00,81.35,81.35,81.0,81.01,358877,29110320.0
2026-05-08 14:50:00,81.02,81.02,80.61,80.9,580861,46983204.0
2026-05-08 14:55:00,80.86,81.39,80.86,81.36,262835,21302828.0
2026-05-08 15:00:00,81.36,81.39,81.22,81.34,137378,11173749.0
