datetime,open,high,low,close,volume,amount
2026-05-08 09:35:00,30.98,31.18,30.88,31.11,112670,3499851.0
2026-05-08 09:40:00,31.11,31.13,30.91,30.96,128260,3980130.0
2026-05-08 09:45:00,30.97,31.07,30.93,30.99,113487,3516607.0
2026-05-08 09:50:00,30.99,31.04,30.91,30.93,100331,3103534.0
2026-05-08 09:55:00,30.93,31.21,30.93,31.21,122215,3793134.0
2026-05-08 10:00:00,31.21,31.31,31.15,31.16,210881,6581984.0
2026-05-08 10:05:00,31.16,31.21,31.06,31.14,77155,2403010.0
2026-05-08 10:10:00,31.14,31.17,31.08,31.1,52944,1648397.0
2026-05-08 10:15:00,31.1,31.19,31.1,31.1,47121,1467597.0
2026-05-08 10:20:00,31.1,31.41,31.09,31.36,140290,4385567.0
2026-05-08 10:25:00,31.36,31.41,31.35,31.35,69401,2177788.0
2026-05-08 10:30:00,31.34,31.34,31.26,31.29,26441,827800.0
2026-05-08 10:35:00,31.29,31.46,31.29,31.39,102703,3223100.0
2026-05-08 10:40:00,31.39,31.53,31.39,31.53,109224,3438362.0
2026-05-08 10:45:00,31.53,31.53,31.45,31.46,56438,1776643.0
2026-05-08 10:50:00,31.45,31.55,31.44,31.48,49260,1552221.0
2026-05-08 10:55:00,31.48,31.49,31.35,31.39,75847,2382521.0
2026-05-08 11:00:00,31.39,31.4,31.32,31.32,50683,1589558.0
2026-05-08 11:05:00,31.32,31.32,31.24,31.27,62813,1965114.0
2026-05-08 11:10:00,31.27,31.33,31.26,31.32,27576,862680.0
2026-05-08 11:15:00,31.33,31.37,31.33,31.35,25152,788459.0
2026-05-08 11:20:00,31.35,31.39,31.34,31.35,21483,673550.0
2026-05-08 11:25:00,31.36,31.38,31.33,31.38,14409,451910.0
2026-05-08 11:30:00,31.37,31.37,31.33,31.36,22407,702269.0
2026-05-08 13:05:00,31.36,31.39,31.36,31.37,17994,564496.0
2026-05-08 13:10:00,31.37,31.44,31.37,31.43,20432,641873.0
2026-05-08 13:15:00,31.41,31.45,31.41,31.43,23342,733706.0
2026-05-08 13:20:00,31.43,31.48,31.42,31.48,29516,928302.0
2026-05-08 13:25:00,31.48,31.49,31.42,31.42,43874,1380602.0
2026-05-08 13:30:00,31.42,31.55,31.42,31.55,62682,1974240.0
2026-05-08 13:35:00,31.55,31.57,31.51,31.57,82970,2616533.0
2026-05-08 13:40:00,31.57,31.57,31.52,31.56,29309,924363.0
2026-05-08 13:45:00,31.55,31.56,31.52,31.56,20574,648846.0
2026-05-08 13:50:00,31.56,31.56,31.52,31.55,25603,807557.0
2026-05-08 13:55:00,31.57,31.66,31.55,31.62,98604,3114490.0
2026-05-08 14:00:00,31.62,31.62,31.55,31.59,34124,1077905.0
2026-05-08 14:05:00,31.6,31.68,31.58,31.66,51203,1619708.0
2026-05-08 14:10:00,31.66,31.68,31.61,31.63,33062,1046317.0
2026-05-08 14:15:00,31.63,31.65,31.6,31.62,21991,695523.0
2026-05-08 14:20:00,31.62,31.62,31.56,31.57,25601,808929.0
2026-05-08 14:25:00,31.57,31.58,31.55,31.55,11510,363244.0
2026-05-08 14:30:00,31.55,31.57,31.51,31.57,22478,709112.0
2026-05-08 14:35:00,31.58,31.64,31.56,31.63,34629,1094707.0
2026-05-08 14:40:00,31.64,31.65,31.6,31.6,70136,2217741.0
2026-05-08 14:45:00,31.6,31.65,31.58,31.61,56247,1778312.0
2026-05-08 14:50:00,31.61,31.64,31.58,31.61,75378,2382151.0
2026-05-08 14:55:00,31.61,31.63,31.55,31.55,83172,2627838.0
2026-05-08 15:00:00,31.57,31.66,31.56,31.66,144246,4564410.0
