datetime,open,high,low,close,volume,amount
2026-05-08 09:35:00,30.13,31.67,30.13,31.32,13773139,430170514.79
2026-05-08 09:40:00,31.36,31.5,31.1,31.11,3978900,124671942.0
2026-05-08 09:45:00,31.12,31.14,30.8,31.14,3705500,114684930.48
2026-05-08 09:50:00,31.15,31.26,31.05,31.07,2222597,69206889.73
2026-05-08 09:55:00,31.07,31.14,30.76,30.9,1667900,51576113.0
2026-05-08 10:00:00,30.89,31.24,30.86,31.1,1330600,41279907.0
2026-05-08 10:05:00,31.07,31.08,30.7,30.7,1314500,40559193.74
2026-05-08 10:10:00,30.7,30.82,30.63,30.68,1622400,49806810.0
2026-05-08 10:15:00,30.7,30.73,30.55,30.55,1037612,31805031.44
2026-05-08 10:20:00,30.56,30.66,30.48,30.66,1561400,47698066.0
2026-05-08 10:25:00,30.67,30.74,30.59,30.68,780800,23935752.0
2026-05-08 10:30:00,30.68,30.7,30.56,30.56,613200,18787120.28
2026-05-08 10:35:00,30.56,30.61,30.43,30.54,867800,26483753.0
2026-05-08 10:40:00,30.55,30.75,30.54,30.72,845172,25917867.4
2026-05-08 10:45:00,30.72,30.8,30.61,30.64,753500,23125829.0
2026-05-08 10:50:00,30.58,30.6,30.5,30.55,659300,20142084.0
2026-05-08 10:55:00,30.54,30.56,30.45,30.46,1044300,31852890.0
2026-05-08 11:00:00,30.46,30.47,30.31,30.34,1013006,30773066.46
2026-05-08 11:05:00,30.35,30.36,30.12,30.12,1460200,44111539.0
2026-05-08 11:10:00,30.12,30.12,29.94,30.05,1511800,45394630.0
2026-05-08 11:15:00,30.05,30.26,30.05,30.25,861100,25957035.0
2026-05-08 11:20:00,30.25,30.26,30.06,30.11,1097100,33053375.0
2026-05-08 11:25:00,30.09,30.2,30.09,30.18,475800,14347687.0
2026-05-08 11:30:00,30.18,30.19,30.09,30.13,825000,24856758.0
2026-05-08 13:05:00,30.15,30.47,30.12,30.16,1614300,48911258.0
2026-05-08 13:10:00,30.16,30.45,30.14,30.45,821000,24865091.0
2026-05-08 13:15:00,30.44,30.53,30.39,30.41,1098700,33477977.0
2026-05-08 13:20:00,30.37,30.42,30.3,30.36,1002400,30437305.0
2026-05-08 13:25:00,30.39,30.42,30.32,30.34,961800,29221769.0
2026-05-08 13:30:00,30.34,30.5,30.34,30.5,665400,20235976.0
2026-05-08 13:35:00,30.5,30.57,30.48,30.53,821704,25081948.92
2026-05-08 13:40:00,30.52,30.57,30.42,30.49,744900,22715347.0
2026-05-08 13:45:00,30.49,30.58,30.49,30.51,638200,19489286.0
2026-05-08 13:50:00,30.5,30.53,30.45,30.52,523600,15964474.0
2026-05-08 13:55:00,30.52,30.54,30.44,30.48,539800,16455641.0
2026-05-08 14:00:00,30.47,30.49,30.42,30.47,644490,19626724.8
2026-05-08 14:05:00,30.46,30.53,30.45,30.52,489300,14917301.0
2026-05-08 14:10:00,30.52,30.55,30.41,30.41,528800,16125356.0
2026-05-08 14:15:00,30.41,30.5,30.41,30.46,512400,15610387.0
2026-05-08 14:20:00,30.45,30.48,30.43,30.44,477800,14550829.48
2026-05-08 14:25:00,30.44,30.45,30.4,30.41,533003,16215352.68
2026-05-08 14:30:00,30.42,30.49,30.39,30.48,556452,16932323.92
2026-05-08 14:35:00,30.48,30.5,30.43,30.46,620300,18900918.0
2026-05-08 14:40:00,30.46,30.48,30.38,30.38,954400,29025641.0
2026-05-08 14:45:00,30.4,30.43,30.38,30.42,679600,20659782.0
2026-05-08 14:50:00,30.41,30.45,30.39,30.45,799300,24305914.0
2026-05-08 14:55:00,30.41,30.51,30.41,30.5,1174000,35767240.0
2026-05-08 15:00:00,30.51,30.54,30.49,30.5,917700,27997179.0
