datetime,open,high,low,close,volume,amount
2026-05-06 09:35:00,34.57,35.26,34.57,35.11,2642157,92583426.0
2026-05-06 09:40:00,35.12,35.45,35.12,35.36,1870874,65988168.0
2026-05-06 09:45:00,35.36,35.44,35.28,35.35,1288500,45559077.0
2026-05-06 09:50:00,35.31,35.31,35.02,35.08,1727900,60738219.0
2026-05-06 09:55:00,35.14,35.28,35.05,35.17,1021000,35879289.0
2026-05-06 10:00:00,35.16,35.32,35.12,35.15,903700,31821351.0
2026-05-06 10:05:00,35.15,35.25,35.13,35.18,709600,24975140.0
2026-05-06 10:10:00,35.18,35.19,35.02,35.09,791700,27790577.0
2026-05-06 10:15:00,35.08,35.1,34.9,34.92,1108395,38778880.0
2026-05-06 10:20:00,34.94,35.07,34.9,34.91,639192,22364697.0
2026-05-06 10:25:00,34.91,34.93,34.79,34.84,1003946,34988856.0
2026-05-06 10:30:00,34.83,35.11,34.83,35.09,939109,32890447.0
2026-05-06 10:35:00,35.06,35.1,34.87,34.87,693000,24237781.0
2026-05-06 10:40:00,34.88,35.09,34.87,35.09,718161,25130362.0
2026-05-06 10:45:00,35.08,35.2,35.04,35.1,760000,26699273.0
2026-05-06 10:50:00,35.1,35.35,35.1,35.34,1053300,37140290.0
2026-05-06 10:55:00,35.32,35.51,35.3,35.31,1896494,67188684.0
2026-05-06 11:00:00,35.31,35.4,35.29,35.38,472600,16694118.0
2026-05-06 11:05:00,35.36,35.36,35.25,35.3,411400,14528569.0
2026-05-06 11:10:00,35.28,35.31,35.27,35.28,237300,8373777.0
2026-05-06 11:15:00,35.28,35.29,35.22,35.22,319200,11255695.0
2026-05-06 11:20:00,35.24,35.4,35.22,35.34,538400,19012092.0
2026-05-06 11:25:00,35.35,35.42,35.25,35.26,517900,18296569.0
2026-05-06 11:30:00,35.26,35.28,35.25,35.25,245800,8666715.0
2026-05-06 13:05:00,35.26,35.28,35.02,35.02,1189200,41810025.0
2026-05-06 13:10:00,35.03,35.08,35.01,35.08,664688,23290079.0
2026-05-06 13:15:00,35.08,35.08,34.93,34.94,1047612,36646084.0
2026-05-06 13:20:00,34.93,34.95,34.88,34.9,735800,25683611.0
2026-05-06 13:25:00,34.9,34.99,34.88,34.96,873800,30522929.0
2026-05-06 13:30:00,34.96,35.02,34.84,34.96,981700,34281708.0
2026-05-06 13:35:00,34.96,35.0,34.87,34.89,548500,19149043.0
2026-05-06 13:40:00,34.88,35.03,34.88,35.0,349300,12212331.0
2026-05-06 13:45:00,35.01,35.02,34.96,34.97,331100,11587231.0
2026-05-06 13:50:00,34.97,35.01,34.92,34.98,399100,13953268.0
2026-05-06 13:55:00,34.98,35.03,34.96,34.97,400100,14002324.0
2026-05-06 14:00:00,34.97,34.99,34.93,34.99,325300,11372061.0
2026-05-06 14:05:00,34.99,34.99,34.81,34.82,761900,26577483.0
2026-05-06 14:10:00,34.81,34.81,34.69,34.75,897976,31208122.0
2026-05-06 14:15:00,34.73,34.73,34.59,34.63,798124,27651737.0
2026-05-06 14:20:00,34.62,34.76,34.61,34.76,510100,17695553.0
2026-05-06 14:25:00,34.75,34.78,34.7,34.73,422200,14665722.0
2026-05-06 14:30:00,34.73,34.75,34.7,34.74,337362,11712041.0
2026-05-06 14:35:00,34.74,34.74,34.69,34.7,477538,16577089.0
2026-05-06 14:40:00,34.7,34.76,34.69,34.74,497200,17267355.0
2026-05-06 14:45:00,34.74,34.74,34.72,34.73,479300,16646689.0
2026-05-06 14:50:00,34.72,34.74,34.71,34.74,580208,20148490.0
2026-05-06 14:55:00,34.73,34.8,34.73,34.8,782600,27209758.0
2026-05-06 15:00:00,34.8,34.8,34.75,34.78,884000,30743498.0
