datetime,open,high,low,close,volume,amount
2026-05-06 09:35:00,27.17,27.57,26.87,27.1,19282651,523503402.0
2026-05-06 09:40:00,27.15,27.37,26.8,26.94,7981251,215498369.0
2026-05-06 09:45:00,26.96,27.16,26.8,26.82,5532554,149213796.0
2026-05-06 09:50:00,26.83,27.0,26.73,26.9,6363752,170745394.0
2026-05-06 09:55:00,26.89,26.96,26.8,26.85,4189800,112567859.0
2026-05-06 10:00:00,26.84,26.87,26.75,26.85,3079300,82533750.0
2026-05-06 10:05:00,26.84,27.05,26.84,26.99,4486799,120936292.0
2026-05-06 10:10:00,27.0,27.2,26.88,27.17,3757100,101644892.0
2026-05-06 10:15:00,27.19,27.42,27.15,27.2,4645100,126677558.0
2026-05-06 10:20:00,27.17,27.19,26.87,26.88,3102400,83907823.0
2026-05-06 10:25:00,26.88,26.99,26.81,26.85,3748500,100834195.0
2026-05-06 10:30:00,26.85,26.9,26.72,26.79,2915255,78126772.0
2026-05-06 10:35:00,26.84,27.0,26.79,27.0,2345300,62978515.0
2026-05-06 10:40:00,26.99,26.99,26.78,26.79,1765900,47397936.0
2026-05-06 10:45:00,26.83,26.91,26.82,26.91,2093692,56216239.0
2026-05-06 10:50:00,26.91,26.98,26.8,26.93,2292846,61673338.0
2026-05-06 10:55:00,26.93,26.93,26.83,26.91,1043500,28039959.0
2026-05-06 11:00:00,26.91,26.91,26.78,26.85,1288100,34562746.0
2026-05-06 11:05:00,26.87,26.9,26.84,26.88,1219100,32752715.0
2026-05-06 11:10:00,26.92,26.92,26.8,26.82,1356400,36403851.0
2026-05-06 11:15:00,26.83,26.93,26.78,26.92,1445600,38785597.0
2026-05-06 11:20:00,26.95,27.03,26.85,27.0,1811100,48810985.0
2026-05-06 11:25:00,27.0,27.04,26.94,26.96,1390600,37527364.0
2026-05-06 11:30:00,26.96,26.98,26.86,26.9,1264100,34027905.0
2026-05-06 13:05:00,26.98,26.98,26.59,26.75,5388287,144120575.0
2026-05-06 13:10:00,26.75,26.78,26.65,26.76,2765375,73800355.0
2026-05-06 13:15:00,26.8,26.8,26.63,26.69,2114600,56488045.0
2026-05-06 13:20:00,26.69,26.77,26.54,26.55,3321194,88483583.0
2026-05-06 13:25:00,26.55,26.59,26.37,26.48,5245836,138775617.0
2026-05-06 13:30:00,26.48,26.49,26.34,26.4,3868235,102150303.0
2026-05-06 13:35:00,26.4,26.49,26.3,26.44,3713430,97868464.0
2026-05-06 13:40:00,26.44,26.47,26.34,26.44,3873700,102272683.0
2026-05-06 13:45:00,26.4,26.59,26.37,26.54,2548269,67574071.0
2026-05-06 13:50:00,26.54,26.72,26.45,26.52,2619300,69669287.0
2026-05-06 13:55:00,26.5,26.6,26.49,26.53,1530900,40606503.0
2026-05-06 14:00:00,26.51,26.54,26.45,26.48,1532300,40593993.0
2026-05-06 14:05:00,26.46,26.48,26.38,26.39,2283543,60329654.0
2026-05-06 14:10:00,26.39,26.46,26.3,26.37,3009400,79278206.0
2026-05-06 14:15:00,26.34,26.35,26.17,26.32,3044800,79929249.0
2026-05-06 14:20:00,26.33,26.54,26.31,26.5,2391475,63328836.0
2026-05-06 14:25:00,26.5,26.55,26.45,26.53,1535778,40693150.0
2026-05-06 14:30:00,26.53,26.58,26.5,26.58,1023400,27150962.0
2026-05-06 14:35:00,26.55,26.57,26.4,26.46,1794092,47486920.0
2026-05-06 14:40:00,26.46,26.55,26.45,26.47,1463704,38779359.0
2026-05-06 14:45:00,26.48,26.55,26.48,26.51,1617122,42874179.0
2026-05-06 14:50:00,26.52,26.56,26.49,26.54,2453000,65071350.0
2026-05-06 14:55:00,26.52,26.53,26.49,26.52,3987800,105707469.0
2026-05-06 15:00:00,26.52,26.58,26.48,26.48,4283627,113530344.0
